LST,BC,CO2,O3,PM25,UFP,NOx
1/2/2018 8:36,634.6666667,424.53,31.5,3.75,10800,18.6608
1/2/2018 8:36,766.1428571,423.13,30.64525463,3.83,10500,17.7896
1/2/2018 8:36,870.625,422.66,29.6537037,3.95,10400,17.1128
1/2/2018 8:36,966.6666667,422.75,28.609375,2.68,11200,16.6664
1/2/2018 8:36,1037.9,425.15,27.5962963,4.36,14400,16.3664
1/2/2018 8:36,1131.6,429.86,26.69849537,3.74,17800,16.136
1/2/2018 8:36,1248.9,425.99,26,4.53,17300,16.0192
1/2/2018 8:36,1290,424.13,25.515625,2.65,15300,15.9752
1/2/2018 8:36,1284.9,423.51,25.20416667,4.29,13600,15.9632
1/2/2018 8:36,1244,424.15,25.065625,3.81,12300,15.972
1/2/2018 8:36,1259,424.65,25.1,3.58,11600,16.0112
1/2/2018 8:36,1156.9,426.32,25.38090278,4.43,11100,16.0816
1/2/2018 8:36,1029.6,440.37,25.9,3.91,10900,16.1784
1/2/2018 8:36,929.6,452.06,26.534375,4.18,10800,16.2968
1/2/2018 8:36,761.7,452.69,27.16111111,2.88,10800,16.4616
1/2/2018 8:36,705.4,448.38,27.65729167,4.55,11000,16.6744
1/2/2018 8:36,649.9,440.52,27.9,2.84,10900,16.904
1/2/2018 8:36,600,430.76,27.85416667,2.93,11000,17.1336
1/2/2018 8:36,566.4,430.34,27.61111111,3.6,11000,17.3464
1/2/2018 8:36,590.8,431.77,27.2375,4.38,11000,17.5872
1/2/2018 8:36,521,427.99,26.8,3.58,10900,17.8848
1/2/2018 8:37,512.4,425.87,26.36527778,2.92,10700,18.18
1/2/2018 8:37,601.8,428.4,26,2.92,10600,18.4032
1/2/2018 8:37,579,433.53,25.62962963,2.93,10700,18.4848
1/2/2018 8:37,606.4,449.38,25.26481481,4.51,10700,18.296
1/2/2018 8:37,628.3,454.75,25.1,3.19,10900,17.876
1/2/2018 8:37,628.9,443.53,25.1,3.56,10900,17.408
1/2/2018 8:37,637.9,431.17,25.1,3.68,10800,17.06
1/2/2018 8:37,705.5,428.8,25.1,4.1,10800,17
1/2/2018 8:37,757.4,426.32,25.1,4,10700,17.3672
1/2/2018 8:37,801.8,424.77,25.1,3.56,10900,18.0808
1/2/2018 8:37,849.7,424.66,25.1,3.37,11100,18.952
1/2/2018 8:37,866.7,424.79,25.64921875,3.28,11300,19.7552
1/2/2018 8:37,913.2,425.32,26.87291667,3.22,11700,20.2648
1/2/2018 8:37,932.2,425.56,28.13515625,3.46,12100,20.392
1/2/2018 8:37,918.7,425.48,28.8,4.06,12300,20.3016
1/2/2018 8:37,962.1,425.6,28.66018519,3.6,12600,20.1128
1/2/2018 8:37,935.5,425.7,28.06481481,3.84,12800,19.8952
1/2/2018 8:37,895.2,425.89,27.2125,3.32,12700,19.7184
1/2/2018 8:37,849.4,427.26,26.30185185,4.49,12400,19.5264
1/2/2018 8:37,791.5,428.6,25.53148148,4.28,12000,19.2152
1/2/2018 8:37,748.7,429.05,25.1,4.36,11700,18.8368
1/2/2018 8:37,690.2,428.44,25.090625,3.89,11400,18.4656
1/2/2018 8:37,659.7,427.53,25.34583333,4.02,11100,18.176
1/2/2018 8:37,626.4,427.03,25.703125,5.26,10800,18.0496
1/2/2018 8:37,640.8,425.79,26,2.59,10600,18.0816
1/2/2018 8:37,596.7,424.38,26.13866667,3.64,10500,18.1896
1/2/2018 8:37,618.4,424.35,26.201,3.13,10700,18.304
1/2/2018 8:37,630.1,425.12,26.294,3.13,10500,18.3552
1/2/2018 8:37,620.1,425.92,26.52466667,3.7,10700,18.3128
1/2/2018 8:37,695,424.6,27,3.68,10700,18.2184
1/2/2018 8:37,769.7,424.21,27.88842593,4.65,10600,18.1016
1/2/2018 8:37,770.1,425.65,29.14074074,4.31,10700,17.9672
1/2/2018 8:37,755.6,424.97,30.5375,4.52,11100,17.82
1/2/2018 8:37,754,425.62,31.85925926,4.44,11400,17.6544
1/2/2018 8:37,676.8,426.01,32.88657407,3.68,11600,17.4784
1/2/2018 8:37,648.5,426.24,33.4,4.47,11500,17.2904
1/2/2018 8:37,596.1,427.43,33.2171875,3.55,11000,17.052
1/2/2018 8:37,541.5,426.17,32.49583333,4.37,10600,16.7248
1/2/2018 8:37,450.6,423.44,31.5265625,2.72,10000,14.9248
1/2/2018 8:37,389.2,422.15,30.6,3.55,9560,11.5288
1/2/2018 8:37,330.9,421.99,29.6150463,3.75,9310,8.5888
1/2/2018 8:37,388.9,421.81,28.4037037,3.24,9210,8.332
1/2/2018 8:37,473.1,421.82,27.15625,4.54,9240,12.9856
1/2/2018 8:37,537.3,421.97,26.06296296,3.93,9430,26.7312
1/2/2018 8:37,671.7,422.14,25.31412037,3.41,10200,48.3816
1/2/2018 8:37,732.1,425.88,25.1,3.28,11300,71.8264
1/2/2018 8:37,818.2,427.35,25.8965625,3.2,16800,90.8328
1/2/2018 8:37,928.3,430.4,27.49083333,3.47,26000,99.168
1/2/2018 8:37,1005.1,445.11,29.0396875,3.85,24800,91.7176
1/2/2018 8:37,1037.1,428.23,29.7,4.28,19500,72.3808
1/2/2018 8:37,1078.666667,425.45,29.0712,4.59,16400,48.6192
1/2/2018 8:37,1001.777778,426.61,27.6356,4.75,14200,27.8584
1/2/2018 8:37,881.7777778,426.58,25.8744,3.84,13200,17.524
1/2/2018 8:37,839.4444444,425.34,24.2688,3.84,12600,21.7272
1/2/2018 8:37,732.2222222,424.89,23.3,2.58,12300,35.6344
